COUNTRY_PLAYER_ID	COUNTRY_ID	PLAYER_ID	USER_ID
288	2	283	ayers
289	2	284	nakamuraamen
290	2	285	FAKE_TIME
291	2	286	contrail
292	2	287	huns_tera
293	2	288	sugisan
294	5	289	kintoto
295	5	290	NikkaTanbura
296	5	291	nanahirosi
297	5	292	鬼灯
298	5	293	black-tea
299	5	110	risa7para
300	5	117	millig
301	5	201	vanish_death
302	5	294	MAKIDAI_P
303	5	295	gin
304	5	296	archaso
305	5	297	Yahhoo
306	5	298	sai-fami
307	5	299	ttd
308	2	300	sakura3939
309	2	301	lg21
310	2	302	danehito
311	2	303	ayumidesu
312	2	304	brownsugar
313	2	305	onistarou
314	2	306	GOD
315	2	307	tansindo
316	2	308	to_star
317	2	309	juve
318	2	310	ackanon
319	2	311	racoon
320	2	312	tsrabbit
321	2	313	hitaki1101
322	2	314	jiro103
323	2	315	michuba
324	2	316	rubin
325	2	317	yomoyu33
326	2	318	kotopi
327	2	319	kukky
328	2	320	bordersign
329	2	321	kaya
330	2	322	dinor
331	2	323	milkytaste
332	2	324	amania
333	2	325	ssun
334	2	326	morokoshi
335	2	327	oogama
336	2	328	mosm235
337	2	329	larme
338	2	330	high-low
339	2	331	gain3
340	2	332	mudman
341	2	47	myeong
342	2	333	mikura
343	2	334	Oarsman
344	2	335	shirokuro
345	2	336	kkkooo1
346	2	337	jun_84
347	2	338	iguni
348	2	339	ofton
349	2	340	hisagi76
350	2	341	T_K_
351	2	342	crimson
352	2	343	kurukuru0027
353	2	344	afinter
354	2	345	srn4324
355	2	346	sunamori
356	2	347	Sakanagi
357	2	348	peacenuts
358	2	349	hideob
359	2	350	hallu
360	2	351	nao-nao
361	2	352	kamiyama3
362	2	353	HIRO_P
363	2	354	neophyte
364	2	355	kazato002
365	2	356	notwolf
366	2	357	mich
367	2	358	dadada30
368	2	359	senasuke
369	2	360	nothing
370	2	361	Deux
371	2	362	maxx2016
372	2	363	sacura
373	2	364	newtype
374	2	365	bakemono
375	2	366	bigears4juv
376	2	367	soboro
377	2	368	Gallade
378	2	369	mop0201
379	2	370	moakken
380	2	371	mikari49
381	2	372	rabbit36
382	2	373	satouyuuya
383	2	374	minimini
384	2	375	ayumid
385	2	376	monja
386	2	377	his
387	2	378	kagami
388	2	379	ruka2
389	2	380	syenanan
390	2	381	syoberu
391	2	382	ito_san
392	2	383	goodriceball
393	2	384	Mieze
394	2	385	primu
395	2	386	kinoko4645
396	2	387	kaorin
397	2	388	itosugi
398	2	389	YUKI_N
399	2	390	syena
400	2	391	akashia
401	2	392	krseg2wgtnr
402	2	393	moimoi2nd
403	2	394	gran
404	2	395	tmk
405	2	396	maco3
406	2	397	chinochan
407	2	398	DADADA
408	2	279	ichicala
409	2	399	Lobo
410	2	400	monowasure
